feature,coefficient,abs_coefficient
smoker_yes,-19642.352375107832,19642.352375107832
bmi_category_obese,2284.074379641024,2284.074379641024
smoker_bmi,1421.1978465474322,1421.1978465474322
region_southwest,-1103.2478758881068,1103.2478758881068
region_southeast,-822.6674254039659,822.6674254039659
region_northwest,-490.8886499284175,490.8886499284175
children,474.72245967963846,474.72245967963846
sex_male,-442.0980782085662,442.0980782085662
bmi_category_overweight,-357.3378269969652,357.3378269969652
age,270.19089940282487,270.19089940282487
bmi,-97.76031073296069,97.76031073296069
bmi_category_underweight,-93.28181822318594,93.28181822318594
